Region	Age	Weight	Length	PawCircumference	NoseBlack	Sex
1	1.5	142	53	2.9	0.026	female
1	2.3	184	62	3.3	0.097	female
1	1.4	145	56	2.7	0.038	female
1	2.9		70	3.4	0.11	female
1	1.6	104	56	3	0.01	female
1	2.8	238	63	3.2	0.13	male
1	2.6	170	61	3.6	0.047	female
1	1.6	113	56	3	0.003	male
1	0.1	86	56	3.2	0.064	female
1	1.4	139	54	2.8	0.021	female
1	1.1	39	52	2.6	0.034	male
1	4.2	393	77	4.1	0.093	male
1	1.7	143	60	3	0.017	female
1	3.1	283	66	3.7	0.052	male
2	1.1	48	51	2.8	0.046	female
2	1.8	230	61	3	0.05	female
2	1.7	193	53	2.8	0.007	male
2	4.4	417	77	4.2		male
2	2.3	193	64	3.4	0.065	female
2	0.6	71	50	2.3	0.002	female
3	3.1	245		3.7	0.015	male
3	0.8	109	49	2.8	0.029	female
3	1.2	125	51	2.8	0.012	female
3	1.2	150	53	2.9	0.003	female
3	0.5	59	51	2.6	0.019	male
3	2.3	183	57	3.1	0.089	female
4	2.7	201	59	3.3	0.065	female
4	0.8	118	50	2.5	0.015	female
4	2.6	235		3.6	0.061	male
4	2.9	279	66	3.5	0.09	female
5	1.6	143	61	3.2	0.073	female
5	0.9	78	48		0.03	male
